[2024-07-05 13:00:51,770: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:04:21,248: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:04:21,249: INFO: common: created directory at: artifacts]
[2024-07-05 13:04:21,260: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:05:24,028: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:05:24,029: INFO: common: created directory at: artifacts]
[2024-07-05 13:05:24,030: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:09:24,048: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:09:24,049: INFO: common: created directory at: artifacts]
[2024-07-05 13:09:24,058: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:24:44,332: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:24:44,332: INFO: common: created directory at: artifacts]
[2024-07-05 13:24:44,333: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:26:17,238: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:26:17,239: INFO: common: created directory at: artifacts]
[2024-07-05 13:26:17,239: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:28:19,539: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:28:19,539: INFO: common: created directory at: artifacts]
[2024-07-05 13:28:19,540: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:29:07,135: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:29:07,135: INFO: common: created directory at: artifacts]
[2024-07-05 13:29:07,135: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:31:11,259: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:31:11,261: INFO: common: created directory at: artifacts]
[2024-07-05 13:31:11,261: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:33:12,839: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:33:12,840: INFO: common: created directory at: artifacts]
[2024-07-05 13:33:12,841: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:33:44,714: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:33:44,714: INFO: common: created directory at: artifacts]
[2024-07-05 13:33:44,715: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:34:08,481: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:34:08,482: INFO: common: created directory at: artifacts]
[2024-07-05 13:34:08,482: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:38:26,882: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:38:26,883: INFO: common: created directory at: artifacts]
[2024-07-05 13:38:26,883: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 13:39:47,382: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 13:39:47,383: INFO: common: created directory at: artifacts]
[2024-07-05 13:39:47,383: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 23:57:14,384: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 23:57:14,387: INFO: common: created directory at: artifacts]
[2024-07-05 23:57:14,387: INFO: common: created directory at: artifacts/terminal]
[2024-07-05 23:58:58,714: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-05 23:58:58,715: INFO: common: created directory at: artifacts]
[2024-07-05 23:58:58,715: INFO: common: created directory at: artifacts/terminal]
[2024-07-06 00:01:22,607: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-06 00:01:22,607: INFO: common: created directory at: artifacts]
[2024-07-06 00:01:22,607: INFO: common: created directory at: artifacts/terminal]
[2024-07-06 00:01:22,634: INFO: graph: INITIATING QUESTION ANALYSER]
[2024-07-06 00:01:22,634: INFO: graph: INITIATING MATH ANALYSER]
[2024-07-06 00:01:22,635: INFO: graph: INITIATING PYTHON GENERATOR]
[2024-07-06 00:01:22,635: INFO: graph: INITIATING IO HANDLER]
[2024-07-06 00:01:22,635: INFO: graph: INITIATING ERROR HANDLER]
[2024-07-06 00:01:22,636: INFO: graph: INITIATING OUTPUT ANALYSER]
[2024-07-06 00:01:22,636: INFO: graph: Lanchain Verbose:True]
[2024-07-06 00:01:22,636: INFO: graph: Lanchain Debug:True]
[2024-07-06 00:01:22,637: INFO: graph: CONSTRUCTING NODES]
[2024-07-06 00:01:22,638: INFO: graph: CONSTRUCTING GRAPH]
[2024-07-06 00:01:22,786: INFO: graph: ANALYSING THE QUESTION]
[2024-07-06 00:01:44,095: INFO: graph: ANALYSIS COMPLETED]
[2024-07-06 00:01:44,129: INFO: graph: GENERATING LOGIC CODE]
[2024-07-06 00:01:52,096: INFO: graph: GENERATING IO CODE]
[2024-07-06 00:01:59,672: INFO: graph: TESTING CODE]
[2024-07-06 00:02:01,099: INFO: graph: TESTING COMPLETED SUCCESSFULLY]
[2024-07-06 00:02:01,125: INFO: graph: DECIDING WETHER TO ERROR HANDLE]
[2024-07-06 00:02:01,158: INFO: graph: FIXING ERROR]
[2024-07-06 00:02:01,515: WARNING: before_sleep: Retrying langchain_google_genai.chat_models._chat_with_retry.<locals>._chat_with_retry in 2.0 seconds as it raised ResourceExhausted: 429 Resource has been exhausted (e.g. check quota)..]
[2024-07-06 00:02:11,947: INFO: graph: TESTING CODE]
[2024-07-06 00:02:12,777: INFO: graph: ERROR HANDLING COMPLETED: 1]
[2024-07-06 00:02:12,802: INFO: graph: DECIDING WETHER TO ERROR HANDLE]
[2024-07-06 00:02:12,833: INFO: graph: FIXING ERROR]
[2024-07-06 00:02:13,156: WARNING: before_sleep: Retrying langchain_google_genai.chat_models._chat_with_retry.<locals>._chat_with_retry in 2.0 seconds as it raised ResourceExhausted: 429 Resource has been exhausted (e.g. check quota)..]
[2024-07-06 00:02:15,452: WARNING: before_sleep: Retrying langchain_google_genai.chat_models._chat_with_retry.<locals>._chat_with_retry in 4.0 seconds as it raised ResourceExhausted: 429 Resource has been exhausted (e.g. check quota)..]
[2024-07-06 00:02:19,765: WARNING: before_sleep: Retrying langchain_google_genai.chat_models._chat_with_retry.<locals>._chat_with_retry in 8.0 seconds as it raised ResourceExhausted: 429 Resource has been exhausted (e.g. check quota)..]
[2024-07-06 00:02:36,956: INFO: graph: TESTING CODE]
[2024-07-06 00:02:37,686: INFO: graph: ERROR HANDLING COMPLETED: 2]
[2024-07-06 00:02:37,715: INFO: graph: DECIDING WETHER TO ERROR HANDLE]
[2024-07-06 00:02:37,748: INFO: graph: FIXING ERROR]
[2024-07-06 00:02:46,821: INFO: graph: TESTING CODE]
[2024-07-06 00:02:47,508: INFO: graph: ERROR HANDLING COMPLETED: 3]
[2024-07-06 00:02:47,532: INFO: graph: DECIDING WETHER TO ERROR HANDLE]
[2024-07-06 00:02:47,565: INFO: graph: FIXING ERROR]
[2024-07-06 00:02:57,217: INFO: graph: TESTING CODE]
[2024-07-06 00:02:58,003: INFO: graph: ERROR HANDLING COMPLETED: 4]
